Film,Year,Genre
The Noose,1928,Drama
The Patent Leather Kid,1927,War
The Last Command,1928,Drama
The Way of All Flesh,1927,Drama
A Ship Comes In,1928,Drama
7th Heaven,1927,Drama
Street Angel,1928,Drama
Sunrise,1927,Drama
Sadie Thompson,1928,Drama
The Racket,1928,Crime
Wings,1927,Drama
The Jazz Singer,1927,Drama
Glorious Betsy,1928,Drama
Underworld,1927,Drama
The Private Life of Helen of Troy,1927,Comedy
Nana,1926,Drama
Thunderbolt,1929,Crime
In Old Arizona,1928,Western
Alibi,1929,Crime
The Valiant,1929,Drama
The Patriot,1928,Drama
Madame X,1929,Drama
The Barker,1928,Romance
The Letter,1929,Drama
The Divine Lady,1928,Drama
The Broadway Melody,1929,Music
Coquette,1929,Drama
Drag,1928,Crime
Weary River,1929,Drama
Hollywood Revue,1929,Comedy
The Cop,1928,Drama
The Leatherneck,1929,War
Sal of Singapore,1928,Drama
Skyscraper,1928,Drama
The Last of Mrs. Cheyney,1929,Comedy
Our Dancing Daughters,1928,Drama
A Woman of Affairs,1928,Drama
Wonder of Women,1929,Drama
Disraeli,1929,Drama
The Green Goddess,1930,Adventure
The Big House,1930,Crime
The Big Pond,1930,Romance
The Love Parade,1930,Comedy
Bulldog Drummond,1929,Action
Condemned,1929,Action
The Rogue Song,1930,Music
The Devil's Holiday,1930,Drama
Sarah and Son,1930,Drama
Anna Christie,1930,Drama
Romance,1929,Drama
The Divorcee,1930,Drama
Their Own Desire,1929,Drama
The Trespasser,1929,Drama
All Quiet on the Western Front,1930,Drama
Hallelujah,1929,Music
Street of Chance,1930,Crime
A Free Soul,1931,Drama
Skippy,1931,Drama
Cimarron,1931,Western
The Royal Family of Broadway,1930,Comedy
The Front Page,1931,Comedy
Morocco,1930,Drama
Min and Bill,1930,Drama
Holiday,1930,Romance
East Lynne,1931,Drama
Trader Horn,1931,Action
The Criminal Code,1931,Crime
Little Caesar,1931,Drama
The Dawn Patrol,1930,War
The Doorway to Hell,1930,Crime
Laughter,1930,Romance
The Public Enemy,1931,Crime
Smart Money,1931,Crime
The Champ,1931,Drama
The Guardsman,1931,Comedy
Dr. Jekyll and Mr. Hyde,1931,Horror
Helping Grandma,1931,Comedy
The Sin of Madelon Claudet,1931,Drama
Bad Girl,1931,Romance
Shanghai Express,1932,Drama
Emma,1932,Drama
Arrowsmith,1931,Drama
Five Star Final,1931,Crime
Grand Hotel,1931,Drama
One Hour with You,1932,Comedy
The Smiling Lieutenant,1931,Comedy
Flowers and Trees,1932,Animation
It's Got Me Again,1932,Animation
Mickey's Orphans,1931,Animation
Lady and Gent,1932,Drama
The Star Witness,1931,Crime
What Price Hollywood?,1932,Drama
Berkeley Square,1933,Fantasy
The Private Life of Henry VIII,1933,History
I Am a Fugitive from a Chain Gang,1932,Drama
Morning Glory,1933,Drama
Lady for a Day,1933,Comedy
Cavalcade,1933,Drama
Little Women,1933,Drama
A Farewell to Arms,1932,Drama
42nd Street,1933,Comedy
She Done Him Wrong,1933,Comedy
Smilin' Through,1932,Drama
State Fair,1933,Comedy
Building a Building,1933,Animation
The Merry Old Soul,1933,Animation
The Three Little Pigs,1933,Music
One Way Passage,1932,Romance
The Prizefighter and the Lady,1933,Romance
Rasputin and the Empress,1932,Drama
It Happened One Night,1934,Comedy
The Affairs of Cellini,1934,Comedy
The Thin Man,1934,Comedy
Of Human Bondage,1934,Drama
One Night of Love,1934,Music
The Barretts of Wimpole Street,1934,Drama
Cleopatra,1934,History
Flirtation Walk,1934,Music
The Gay Divorcee,1934,Comedy
Here Comes the Navy,1934,War
The House of Rothschild,1934,Drama
Imitation of Life,1934,Drama
Viva Villa!,1934,Western
The White Parade,1934,Drama
Holiday Land,1934,Animation
Jolly Little Elves,1934,Music
The Tortoise and the Hare,1934,Animation
Hide-Out,1934,Comedy
Manhattan Melodrama,1934,Crime
The Richest Girl in the World,1934,Comedy
Mutiny on the Bounty,1935,Adventure
The Informer,1935,Crime
Black Fury,1935,Drama
Escape Me Never,1935,Drama
Private Worlds,1935,Drama
Dangerous,1935,Drama
Alice Adams,1935,Romance
Becky Sharp,1935,Drama
The Dark Angel,1935,Romance
Captain Blood,1935,Adventure
The Lives of a Bengal Lancer,1935,Adventure
Broadway Melody of 1936,1935,Music
David Copperfield,1935,Drama
Les Miserables,1935,Drama
A Midsummer Night's Dream,1935,Fantasy
Naughty Marietta,1935,Music
Ruggles of Red Gap,1935,Comedy
Top Hat,1935,Music
The Calico Dragon,1935,Animation
Three Orphan Kittens,1935,Animation
Who Killed Cock Robin?,1935,Family
G-Men,1935,Crime
The Gay Deception,1935,Comedy
The Scoundrel,1935,Drama
Mr. Deeds Goes to Town,1936,Comedy
Dodsworth,1936,Drama
The Story of Louis Pasteur,1936,Drama
My Man Godfrey,1936,Comedy
San Francisco,1936,Drama
Come and Get It,1936,Drama
Pigskin Parade,1936,Comedy
Romeo and Juliet,1936,Drama
The General Died at Dawn,1936,Drama
Theodora Goes Wild,1936,Comedy
Valiant Is the Word for Carrie,1936,Drama
The Great Ziegfeld,1936,Music
The Gorgeous Hussy,1936,Drama
These Three,1936,Drama
Anthony Adverse,1936,Drama
Libeled Lady,1936,Comedy
A Tale of Two Cities,1936,History
Three Smart Girls,1936,Comedy
The Country Cousin,1936,Animation
Old Mill Pond,1936,Animation
Sinbad the Sailor,1936,Animation
Fury,1936,Crime
After the Thin Man,1936,Comedy
Conquest,1937,History
A Star Is Born,1937,Drama
Night Must Fall,1937,Mystery
The Life of Emile Zola,1937,Drama
Captains Courageous,1937,Adventure
The Awful Truth,1937,Comedy
The Hurricane,1937,Action
Lost Horizon,1937,Adventure
Topper,1937,Comedy
Camille,1936,Drama
The Good Earth,1937,Drama
Stella Dallas,1937,Drama
In Old Chicago,1938,Drama
Stage Door,1937,Comedy
Dead End,1937,Crime
One Hundred Men and a Girl,1937,Comedy
Educated Fish,1937,Animation
The Little Match Girl,1937,Animation
The Old Mill,1937,Animation
Black Legion,1937,Crime
Algiers,1938,Drama
Angels with Dirty Faces,1938,Crime
The Citadel,1938,Drama
Pygmalion,1938,Comedy
Boys Town,1938,Drama
Kentucky,1938,Drama
Four Daughters,1938,Drama
Marie Antoinette,1938,Drama
If I Were King,1938,Adventure
White Banners,1938,Drama
Jezebel,1938,Drama
Three Comrades,1938,Drama
Of Human Hearts,1938,Drama
Merrily We Live,1938,Comedy
You Can't Take It with You,1938,Comedy
The Great Waltz,1938,Drama
The Adventures of Robin Hood,1938,Adventure
Alexander's Ragtime Band,1938,Music
Grand Illusion,1937,Drama
Test Pilot,1938,Drama
Brave Little Tailor,1938,Animation
Ferdinand the Bull,1938,Animation
Good Scouts,1938,Animation
Hunky and Spunky,1938,Animation
Mother Goose Goes Hollywood,1938,Animation
Blockade,1938,War
Mad about Music,1938,Comedy
"Goodbye, Mr. Chips",1939,Drama
Gone with the Wind,1939,Drama
Wuthering Heights,1939,Drama
Babes in Arms,1939,Comedy
Mr. Smith Goes to Washington,1939,Comedy
Juarez,1939,Drama
Beau Geste,1939,Adventure
Stagecoach,1939,Western
Dark Victory,1939,Drama
Love Affair,1939,Drama
Ninotchka,1939,Comedy
Drums along the Mohawk,1939,Drama
Of Mice and Men,1939,Drama
The Wizard of Oz,1939,Adventure
Detouring America,1939,Animation
Peace on Earth,1939,Animation
The Pointer,1939,Animation
The Ugly Duckling,1939,Animation
Bachelor Mother,1939,Comedy
Young Mr. Lincoln,1939,Drama
The Great Dictator,1940,Comedy
The Grapes of Wrath,1940,Drama
Abe Lincoln in Illinois,1940,Drama
Rebecca,1940,Mystery
The Philadelphia Story,1940,Comedy
Foreign Correspondent,1940,Thriller
The Westerner,1940,Western
They Knew What They Wanted,1940,Drama
The Letter,1940,Crime
Kitty Foyle,1940,Drama
Our Town,1940,Drama
"All This, and Heaven Too",1940,Drama
Primrose Path,1940,Drama
The Long Voyage Home,1940,Drama
The Milky Way,1940,Animation
Puss Gets the Boot,1940,Animation
A Wild Hare,1940,Animation
"Arise, My Love",1940,Comedy
Comrade X,1940,Comedy
"Edison, the Man",1940,History
My Favorite Wife,1940,Comedy
Sergeant York,1941,War
Penny Serenade,1941,Drama
All That Money Can Buy,1941,Drama
Here Comes Mr. Jordan,1941,Comedy
Citizen Kane,1941,Mystery
The Devil and Miss Jones,1941,Comedy
How Green Was My Valley,1941,Drama
The Maltese Falcon,1941,Mystery
The Little Foxes,1941,Drama
Hold Back the Dawn,1941,Drama
Suspicion,1941,Mystery
Blossoms in the Dust,1941,Drama
Ball of Fire,1941,Comedy
The Great Lie,1941,Drama
One Foot in Heaven,1941,Drama
Boogie Woogie Bugle Boy of Company B,1941,Animation
Hiawatha's Rabbit Hunt,1941,Animation
How War Came,1941,Animation
Lend a Paw,1941,Family
The Night before Christmas,1941,Animation
Rhapsody in Rivets,1941,Animation
Rhythm in the Ranks,1941,Animation
The Rookie Bear,1941,Animation
Superman,1941,Action
Truant Officer Donald,1941,Animation
The Lady Eve,1941,Comedy
Meet John Doe,1941,Drama
Night Train,1940,Drama
Yankee Doodle Dandy,1942,Drama
Random Harvest,1942,Romance
The Pride of the Yankees,1942,Drama
Mrs. Miniver,1942,Drama
The Pied Piper,1942,Drama
Wake Island,1942,War
Johnny Eager,1941,Crime
Tortilla Flat,1942,Comedy
"Now, Voyager",1942,Romance
Woman of the Year,1942,Comedy
My Sister Eileen,1942,Comedy
The Magnificent Ambersons,1942,Drama
Kings Row,1942,Romance
The Invaders,1941,War
The Talk of the Town,1942,Comedy
All Out for 'V',1942,Animation
Blitz Wolf,1942,Animation
Der Fuehrer's Face,1942,Animation
Juke Box Jamboree,1942,Animation
Pigs in a Polka,1942,Animation
Tulips Shall Grow,1942,Animation
Holiday Inn,1942,Comedy
Casablanca,1943,Drama
For Whom the Bell Tolls,1943,War
Watch on the Rhine,1943,Drama
Madame Curie,1943,Drama
The Human Comedy,1943,Drama
The Song of Bernadette,1943,Drama
The More the Merrier,1943,Comedy
Sahara,1943,Adventure
The Constant Nymph,1943,Drama
So Proudly We Hail!,1943,War
Heaven Can Wait,1943,Comedy
In Which We Serve,1942,Drama
The Ox-Bow Incident,1943,Western
The Dizzy Acrobat,1943,Animation
The 500 Hats of Bartholomew Cubbins,1943,Animation
Greetings Bait!,1943,Animation
Imagination,1943,Animation
Reason and Emotion,1943,Animation
Yankee Doodle Mouse,1943,Animation
Action in the North Atlantic,1943,War
Destination Tokyo,1943,War
Shadow of a Doubt,1943,Thriller
Holy Matrimony,1943,Comedy
Gaslight,1944,Thriller
Going My Way,1944,Drama
None but the Lonely Heart,1944,Drama
Wilson,1944,Drama
The Seventh Cross,1944,Drama
Mr. Skeffington,1944,Drama
Laura,1944,Drama
Since You Went Away,1944,Drama
Mrs. Parkington,1944,Drama
Double Indemnity,1944,Crime
Dragon Seed,1944,Drama
Lifeboat,1944,War
And to Think I Saw It on Mulberry Street,1944,Animation
"Dog, Cat and Canary",1944,Animation
Fish Fry,1944,Animation
How to Play Football,1944,Animation
Mouse Trouble,1944,Animation
My Boy Johnny,1944,Animation
Swooner Crooner,1944,Animation
A Guy Named Joe,1944,Drama
None Shall Escape,1944,War
The Sullivans,1944,Drama
Meet Me in St. Louis,1944,Comedy
The Bells of St. Mary's,1945,Drama
Anchors Aweigh,1945,Music
The Lost Weekend,1945,Drama
The Keys of the Kingdom,1944,Drama
A Song to Remember,1945,Romance
Spellbound,1945,Thriller
The Corn Is Green,1945,Drama
A Tree Grows in Brooklyn,1945,Drama
G. I. Joe,1945,Drama
A Medal for Benny,1945,Drama
Mildred Pierce,1945,Crime
The Valley of Decision,1945,Drama
Love Letters,1945,Drama
Leave Her to Heaven,1945,Drama
The Picture of Dorian Gray,1945,Drama
National Velvet,1945,Drama
The Southerner,1945,Drama
Donald's Crime,1945,Animation
Jasper and the Beanstalk,1945,Animation
Life with Feathers,1945,Animation
Mighty Mouse in Gypsy Life,1945,Animation
The Poet and Peasant,1945,Animation
Quiet Please!,1945,Animation
Rippling Romance,1945,Animation
The Affairs of Susan,1945,Comedy
The House on 92nd Street,1945,Thriller
"Objective, Burma!",1945,War
Pride of the Marines,1945,Drama
The Best Years of Our Lives,1946,Drama
Henry V,1944,History
The Jolson Story,1946,Drama
The Yearling,1946,Drama
It's a Wonderful Life,1946,Drama
The Green Years,1946,Drama
Notorious,1946,Thriller
The Razor's Edge,1946,Drama
To Each His Own,1946,Drama
Brief Encounter,1945,Drama
Duel in the Sun,1946,Western
Sister Kenny,1946,Drama
The Spiral Staircase,1946,Horror
Saratoga Trunk,1945,Drama
Anna and the King of Siam,1946,Drama
The Killers,1946,Crime
The Cat Concerto,1946,Animation
Chopin's Musical Moments,1946,Animation
John Henry and the Inky Poo,1946,Animation
Squatter's Rights,1946,Animation
Walky Talky Hawky,1946,Animation
The Dark Mirror,1946,Thriller
The Strange Love of Martha Ivers,1946,Drama
The Stranger,1946,Thriller
Vacation from Marriage,1946,Drama
Open City,1945,Drama
A Double Life,1947,Drama
Body and Soul,1947,Drama
Gentleman's Agreement,1947,Drama
Life with Father,1947,Comedy
Mourning Becomes Electra,1947,Drama
The Farmer's Daughter,1947,Comedy
Ride the Pink Horse,1947,Drama
Miracle on 34th Street,1947,Comedy
Crossfire,1947,Crime
Kiss of Death,1947,Crime
Possessed,1947,Drama
Smash-Up--The Story of a Woman,1947,Drama
The Paradine Case,1947,Drama
The Egg and I,1947,Comedy
The Bishop's Wife,1947,Comedy
Great Expectations,1946,Drama
Chip An' Dale,1947,Animation
Dr. Jekyll and Mr. Mouse,1947,Animation
Pluto's Blue Note,1947,Animation
Tubby the Tuba,1947,Animation
Tweetie Pie,1947,Animation
A Cage of Nightingales,1945,Music
It Happened on Fifth Avenue,1947,Comedy
Boomerang!,1947,Drama
Johnny Belinda,1948,Drama
The Search,1948,Drama
When My Baby Smiles at Me,1948,Music
Hamlet,1948,Drama
Sitting Pretty,1948,Comedy
Joan of Arc,1948,Drama
I Remember Mama,1948,Family
The Treasure of the Sierra Madre,1948,Adventure
The Luck of the Irish,1948,Fantasy
The Snake Pit,1948,Drama
"Sorry, Wrong Number",1948,Thriller
Key Largo,1948,Crime
The Red Shoes,1948,Drama
The Little Orphan,1948,Animation
Mickey and the Seal,1948,Animation
Mouse Wreckers,1948,Animation
Robin Hoodlum,1948,Comedy
Tea for Two Hundred,1948,Animation
Louisiana Story,1948,Adventure
The Naked City,1948,Crime
Red River,1948,Western
A Foreign Affair,1948,Romance
All the King's Men,1949,Drama
Champion,1949,Drama
Twelve O'Clock High,1949,War
The Hasty Heart,1949,Drama
Sands of Iwo Jima,1950,War
The Heiress,1949,Drama
Battleground,1949,Action
Pinky,1949,Drama
My Foolish Heart,1950,Drama
"Edward, My Son",1949,Drama
Come to the Stable,1949,Comedy
The Fallen Idol,1948,Drama
A Letter to Three Wives,1949,Romance
Canary Row,1949,Animation
For Scent-Imental Reasons,1949,Animation
Hatch Up Your Troubles,1949,Animation
The Magic Fluke,1949,Animation
Toy Tinkers,1949,Animation
It Happens Every Spring,1949,Comedy
The Stratton Story,1949,Drama
White Heat,1949,Crime
The Bicycle Thief,1948,Drama
The Magnificent Yankee,1950,Drama
Cyrano de Bergerac,1950,Romance
Sunset Blvd.,1950,Drama
Harvey,1950,Comedy
Father of the Bride,1950,Comedy
Broken Arrow,1950,Western
Mister 880,1950,Comedy
The Asphalt Jungle,1950,Crime
All about Eve,1950,Drama
Born Yesterday,1950,Comedy
Caged,1950,Crime
The Third Man,1949,Thriller
King Solomon's Mines,1950,Adventure
Gerald McBoing-Boing,1950,Animation
Jerry's Cousin,1950,Animation
Trouble Indemnity,1950,Animation
Bitter Rice,1949,Drama
The Gunfighter,1950,Western
Mystery Street,1950,Crime
Panic in the Streets,1950,Thriller
When Willie Comes Marching Home,1950,Comedy
The Walls of Malapaga,1950,Drama
The African Queen,1952,Romance
A Streetcar Named Desire,1951,Drama
A Place in the Sun,1951,Drama
Bright Victory,1951,Drama
Death of a Salesman,1951,Drama
Quo Vadis,1951,Drama
Come Fill the Cup,1951,Drama
Detective Story,1951,Crime
The Blue Veil,1951,Drama
The Mating Season,1951,Comedy
An American in Paris,1951,Music
Decision before Dawn,1951,War
"Lambert, the Sheepish Lion",1951,Animation
Rooty Toot Toot,1951,Animation
The Two Mouseketeers,1951,Animation
Bullfighter and the Lady,1951,Drama
The Frogmen,1951,Action
Here Comes the Groom,1951,Comedy
Seven Days to Noon,1951,Thriller
Teresa,1951,Drama
La Ronde,1950,Romance
Rashomon,1950,Crime
Viva Zapata!,1952,History
High Noon,1952,Western
The Bad and the Beautiful,1952,Drama
Moulin Rouge,1952,Drama
The Lavender Hill Mob,1951,Comedy
My Cousin Rachel,1952,Mystery
The Big Sky,1952,Adventure
The Quiet Man,1952,Romance
Sudden Fear,1952,Thriller
"Come Back, Little Sheba",1953,Drama
The Star,1952,Drama
The Member of the Wedding,1952,Drama
With a Song in My Heart,1952,Music
Singin' in the Rain,1952,Comedy
Five Fingers,1952,Thriller
The Greatest Show on Earth,1952,Drama
Ivanhoe,1952,Adventure
Johann Mouse,1952,Animation
Little Johnny Jet,1952,Animation
Madeline,1952,Animation
Pink and Blue Blues,1952,Animation
Romance of Transportation,1952,History
My Son John,1952,Drama
The Narrow Margin,1952,Thriller
The Pride of St. Louis,1952,Drama
The Sniper,1952,Crime
The Man in the White Suit,1951,Comedy
Forbidden Games,1952,Drama
Julius Caesar,1953,Drama
The Robe,1953,Drama
From Here to Eternity,1953,War
Stalag 17,1953,Comedy
Roman Holiday,1953,Romance
Shane,1953,Drama
Lili,1953,Romance
Mogambo,1953,Adventure
The Moon Is Blue,1953,Comedy
Hondo,1953,Western
Torch Song,1953,Music
Pickup on South Street,1953,Thriller
Christopher Crumpet,1953,Animation
From A to Z-Z-Z-Z,1953,Animation
Rugged Bear,1953,Animation
The Tell Tale Heart,1953,Animation
"Toot, Whistle, Plunk and Boom",1953,Animation
Above and Beyond,1953,Action
The Captain's Paradise,1953,Romance
Little Fugitive,1953,Drama
The Cruel Sea,1953,Drama
The Caine Mutiny,1954,Drama
On the Waterfront,1954,Crime
The Country Girl,1954,Drama
A Star Is Born,1954,Drama
Adventures of Robinson Crusoe,1954,Adventure
The Barefoot Contessa,1954,Drama
Carmen Jones,1954,Drama
Sabrina,1954,Comedy
Magnificent Obsession,1954,Drama
Executive Suite,1954,Drama
Broken Lance,1954,Adventure
The High and the Mighty,1954,Action
Rear Window,1954,Thriller
Seven Brides for Seven Brothers,1954,Comedy
Three Coins in the Fountain,1954,Drama
Crazy Mixed Up Pup,1954,Animation
Pigs Is Pigs,1954,Animation
Sandy Claws,1954,Animation
Touché Pussy Cat,1954,Animation
When Magoo Flew,1954,Animation
"Bread, Love and Dreams",1953,Romance
Forbidden Games,1952,Drama
Night People,1954,Drama
There's No Business Like Show Business,1954,Music
Gate of Hell,1953,Drama
Marty,1955,Drama
Love Me or Leave Me,1955,Music
East of Eden,1955,Drama
The Man with the Golden Arm,1955,Drama
Bad Day at Black Rock,1955,Thriller
Trial,1955,Drama
Mister Roberts,1955,Comedy
Rebel without a Cause,1955,Drama
Picnic,1955,Drama
I'll Cry Tomorrow,1955,Drama
Summertime,1955,Drama
Love Is a Many-Splendored Thing,1955,Drama
The Rose Tattoo,1955,Drama
Interrupted Melody,1955,Drama
Pete Kelly's Blues,1955,Crime
Good Will to Men,1955,Animation
The Legend of Rock-a-bye Point,1955,Animation
No Hunting,1955,Animation
Speedy Gonzales,1955,Animation
The Private War of Major Benson,1955,Comedy
The Sheep Has Five Legs,1955,Comedy
Strategic Air Command,1955,Action
Blackboard Jungle,1955,Crime
"Samurai, The Legend of Musashi",1955,Drama
The King and I,1956,Romance
Giant,1956,Drama
Lust for Life,1956,Drama
Richard III,1955,Drama
Bus Stop,1956,Comedy
Friendly Persuasion,1956,Drama
The Bold and the Brave,1956,Drama
Written on the Wind,1956,Drama
Baby Doll,1956,Drama
Anastasia,1956,Drama
The Rainmaker,1956,Romance
The Bad Seed,1956,Thriller
Around the World in 80 Days,1956,Adventure
War and Peace,1956,War
The Captain of Kopenick,1956,Comedy
Gervaise,1956,Romance
Harp of Burma,1956,War
La Strada,1954,Drama
Qivitoq,1956,Adventure
The Ten Commandments,1956,Drama
Gerald McBoing-Boing on Planet Moo,1956,Animation
The Jaywalker,1956,Animation
Mister Magoo's Puddle Jumper,1956,Comedy
The Brave One,1956,Family
The Eddy Duchin Story,1956,Drama
High Society,1956,Music
The Proud and the Beautiful,1956,Drama
Umberto D.,1956,Drama
Sayonara,1957,Drama
A Hatful of Rain,1957,Drama
The Bridge on the River Kwai,1957,Drama
Witness for the Prosecution,1957,Drama
Wild Is the Wind,1957,Drama
A Farewell to Arms,1957,Drama
Peyton Place,1957,Drama
"Heaven Knows, Mr. Allison",1957,Adventure
Raintree County,1957,Romance
The Three Faces of Eve,1957,Drama
The Bachelor Party,1957,Drama
12 Angry Men,1957,Drama
The Devil Came at Night,1957,Drama
Gates of Paris,1957,Drama
Mother India,1957,Drama
The Nights of Cabiria,1957,Drama
Nine Lives,1957,Action
Birds Anonymous,1957,Animation
One Droopy Knight,1957,Animation
Tabasco Road,1957,Animation
Trees and Jamaica Daddy,1957,Animation
The Truth about Mother Goose,1957,Animation
The Defiant Ones,1958,Crime
Cat on a Hot Tin Roof,1958,Drama
Separate Tables,1958,Drama
The Old Man and the Sea,1958,Adventure
The Brothers Karamazov,1958,Drama
The Big Country,1958,Drama
Some Came Running,1958,Drama
Teacher's Pet,1958,Comedy
I Want to Live!,1958,Drama
Auntie Mame,1958,Comedy
Lonelyhearts,1959,Drama
Gigi,1958,Comedy
The Inn of the Sixth Happiness,1958,War
Arms and the Man,1958,Comedy
La Venganza,1958,Drama
My Uncle,1958,Comedy
The Road a Year Long,1958,Drama
The Usual Unidentified Thieves,1958,Comedy
Knighty Knight Bugs,1958,Animation
Paul Bunyan,1958,Family
Sidney's Family Tree,1958,Animation
The Horse's Mouth,1958,Comedy
Room at the Top,1958,Drama
Ben-Hur,1959,History
Some Like It Hot,1959,Comedy
The Last Angry Man,1959,Drama
Anatomy of a Murder,1959,Crime
The Young Philadelphians,1959,Drama
The Diary of Anne Frank,1959,Drama
Pillow Talk,1959,Comedy
The Nun's Story,1959,Drama
"Suddenly, Last Summer",1959,Thriller
Imitation of Life,1959,Drama
Black Orpheus,1959,Drama
The Bridge,1959,Drama
The Great War,1959,Comedy
Paw,1959,Family
The Village on the River,1958,Drama
Mexicali Shmoes,1959,Animation
Moonbird,1959,Animation
Noah's Ark,1959,Animation
The Violinist,1959,Animation
Sons and Lovers,1960,Drama
Elmer Gantry,1960,Drama
The Apartment,1960,Comedy
The Entertainer,1960,Drama
Inherit the Wind,1960,Drama
"Murder, Inc.",1960,Crime
Exodus,1960,Drama
Spartacus,1960,History
The Alamo,1960,War
Sunrise at Campobello,1960,Drama
The Sundowners,1960,Drama
Never on Sunday,1960,Comedy
Butterfield 8,1960,Drama
The Dark at the Top of the Stairs,1960,Drama
Psycho,1960,Horror
Kapo,1960,Drama
La Vérité,1960,Drama
Macario,1960,Drama
The Ninth Circle,1960,Drama
The Virgin Spring,1960,Drama
Goliath II,1960,Animation
High Note,1960,Animation
Mouse and Garden,1960,Animation
Munro,1960,Animation
A Place in the Sun,1960,Animation
Tunes of Glory,1960,Drama
Fanny,1961,Drama
The Hustler,1961,Drama
Judgment at Nuremberg,1961,Drama
The Mark,1961,Drama
West Side Story,1961,Crime
Pocketful of Miracles,1961,Comedy
Breakfast at Tiffany's,1961,Comedy
Two Women,1960,Drama
Summer and Smoke,1961,Drama
Splendor in the Grass,1961,Drama
The Children's Hour,1961,Drama
The Roman Spring of Mrs. Stone,1961,Drama
The Guns of Navarone,1961,War
La Dolce Vita,1960,Comedy
Harry and the Butler,1961,Family
Immortal Love,1961,Drama
The Important Man,1961,Drama
Placido,1962,Comedy
Through a Glass Darkly,1961,Drama
Aquamania,1961,Animation
Beep Prepared,1961,Animation
Ersatz (The Substitute),1961,Comedy
Nelly's Folly,1961,Animation
The Pied Piper of Guadalupe,1961,Animation
Birdman of Alcatraz,1962,Drama
Days of Wine and Roses,1963,Drama
Divorce--Italian Style,1961,Comedy
Lawrence of Arabia,1962,Adventure
To Kill a Mockingbird,1962,Drama
Sweet Bird of Youth,1962,Drama
What Ever Happened to Baby Jane?,1962,Drama
Billy Budd,1962,Drama
The Miracle Worker,1962,Drama
Long Day's Journey into Night,1962,Drama
The Manchurian Candidate,1962,Thriller
David and Lisa,1962,Drama
Electra,1962,Action
The Four Days of Naples,1962,Drama
Keeper of Promises (The Given Word),1962,Drama
Sundays and Cybele,1962,Drama
Tlayucan,1962,Comedy
The Longest Day,1962,War
Meredith Willson's The Music Man,1962,Music
Mutiny on the Bounty,1962,Adventure
The Hole,1962,Animation
Icarus Montgolfier Wright,1962,Science Fiction
Now Hear This,1962,Animation
Self Defense--For Cowards,1962,Animation
Symposium on Popular Songs,1962,Animation
Lolita,1962,Drama
Tom Jones,1963,Comedy
