Film,Year,Genre
This Sporting Life,1963,Drama
Cleopatra,1963,Drama
Hud,1963,Drama
Lilies of the Field,1963,Comedy
Twilight of Honor,1963,Drama
"Captain Newman, M.D.",1963,Comedy
The Cardinal,1963,Drama
The L-Shaped Room,1963,Drama
Irma La Douce,1963,Romance
Love with the Proper Stranger,1963,Comedy
The V.I.P.s,1963,Drama
America America,1963,Drama
Federico Fellini's 8-1/2,1963,Drama
Knife in the Water,1962,Drama
Los Tarantos,1963,Romance
The Red Lanterns,1963,Drama
Twin Sisters of Kyoto,1963,Drama
How the West Was Won,1962,Western
Automania 2000,1964,Science Fiction
The Critic,1963,Animation
The Game (Igra),1963,Drama
My Financial Career,1963,Animation
Pianissimo,1963,Animation
Sundays and Cybele,1962,Drama
Becket,1964,Drama
My Fair Lady,1964,Comedy
Zorba the Greek,1964,Drama
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy
Seven Days in May,1964,Drama
The Best Man,1964,Drama
Topkapi,1964,Comedy
Mary Poppins,1964,Comedy
The Pumpkin Eater,1964,Drama
Marriage Italian Style,1964,Drama
The Unsinkable Molly Brown,1964,Comedy
Seance on a Wet Afternoon,1964,Crime
The Chalk Garden,1964,Drama
The Night of the Iguana,1964,Drama
Hush... Hush Sweet Charlotte,1964,Horror
Raven's End,1964,Drama
Sallah,1964,Comedy
The Umbrellas of Cherbourg,1964,Drama
Woman in the Dunes,1964,Drama
"Yesterday, Today and Tomorrow",1963,Comedy
Christmas Cracker,1963,Family
How to Avoid Friendship,1964,Animation
Nudnik #2,1964,Animation
The Pink Phink,1964,Animation
The Spy Who Came In from the Cold,1965,Drama
Cat Ballou,1965,Western
Othello,1965,Drama
The Pawnbroker,1965,Drama
Ship of Fools,1965,Drama
A Thousand Clowns,1965,Comedy
The Flight of the Phoenix,1965,Adventure
Doctor Zhivago,1965,Drama
The Sound of Music,1965,Drama
Darling,1965,Drama
The Collector,1965,Thriller
A Patch of Blue,1965,Drama
Inside Daisy Clover,1966,Drama
Woman in the Dunes,1965,Drama
Blood on the Land,1965,Drama
Dear John,1965,Drama
Kwaidan,1965,Horror
The Shop on Main Street,1965,Drama
Clay or The Origin of Species,1965,Animation
The Dot and the Line,1965,Animation
The Thieving Magpie (La Gazza Ladra),1965,Animation
The Russians Are Coming The Russians Are Coming,1966,Comedy
Who's Afraid of Virginia Woolf?,1966,Drama
Alfie,1966,Comedy
The Sand Pebbles,1966,Drama
A Man for All Seasons,1966,Drama
Georgy Girl,1966,Comedy
The Fortune Cookie,1966,Comedy
A Man and a Woman,1966,Drama
The Shop on Main Street,1965,Drama
Morgan!,1966,Comedy
Hawaii,1966,Drama
You're a Big Boy Now,1966,Comedy
Blow-Up,1966,Drama
The Professionals,1966,Western
The Battle of Algiers,1966,Drama
Loves of a Blonde,1965,Comedy
Pharaoh,1966,History
Three,1966,Drama
The Drag,1966,Animation
Herb Alpert and the Tijuana Brass Double Feature,1966,Animation
The Pink Blueprint,1966,Animation
Bonnie and Clyde,1967,Crime
The Graduate,1967,Drama
Cool Hand Luke,1967,Drama
In the Heat of the Night,1967,Crime
Guess Who's Coming to Dinner,1967,Drama
The Dirty Dozen,1967,Action
The Whisperers,1967,Drama
Wait until Dark,1967,Thriller
Thoroughly Modern Millie,1967,Comedy
Barefoot in the Park,1967,Comedy
In Cold Blood,1967,Crime
Closely Watched Trains,1966,Comedy
El Amor Brujo,1967,Drama
I Even Met Happy Gypsies,1967,Drama
Live for Life,1967,Drama
Portrait of Chieko,1967,Drama
Doctor Dolittle,1967,Music
The Box,1967,Animation
Hypothese Beta,1967,Animation
What on Earth!,1967,Animation
Ulysses,1967,Drama
The Heart Is a Lonely Hunter,1968,Drama
The Fixer,1968,Drama
Oliver!,1968,Drama
The Lion in Winter,1968,Drama
Charly,1968,Drama
The Subject Was Roses,1968,Drama
Faces,1968,Drama
Star!,1968,Drama
The Producers,1968,Comedy
Isadora,1968,Drama
Funny Girl,1968,Comedy
"Rachel, Rachel",1968,Drama
Rosemary's Baby,1968,Drama
The Battle of Algiers,1966,Drama
Romeo and Juliet,1968,Drama
2001: A Space Odyssey,1968,Science Fiction
The Boys of Paul Street,1968,Family
The Firemen's Ball,1967,Comedy
The Girl with the Pistol,1968,Comedy
Stolen Kisses,1968,Comedy
War and Peace,1968,History
The House That Jack Built,1968,Animation
The Magic Pear Tree,1968,Animation
Windy Day,1968,Animation
Winnie the Pooh and the Blustery Day,1968,Family
The Odd Couple,1968,Comedy
Anne of the Thousand Days,1969,Drama
Midnight Cowboy,1969,Drama
"Goodbye, Mr. Chips",1969,Drama
True Grit,1969,Western
The Reivers,1969,Comedy
Bob & Carol & Ted & Alice,1969,Comedy
Easy Rider,1969,Adventure
"They Shoot Horses, Don't They?",1969,Drama
The Sterile Cuckoo,1969,Comedy
The Happy Ending,1969,Drama
The Prime of Miss Jean Brodie,1969,Drama
Last Summer,1969,Drama
Cactus Flower,1969,Comedy
Alice's Restaurant,1969,Drama
Butch Cassidy and the Sundance Kid,1969,Adventure
Z,1969,Thriller
Ådalen '31,1969,Drama
The Battle of Neretva,1969,Drama
The Brothers Karamazov,1969,Drama
My Night at Maud's,1969,Romance
"Hello, Dolly!",1969,Comedy
It's Tough to Be a Bird,1969,Documentary
Of Men and Demons,1969,Animation
Walking,1968,Animation
"Goodbye, Columbus",1969,Comedy
I Never Sang for My Father,1970,Drama
The Great White Hope,1970,Drama
Five Easy Pieces,1970,Drama
Love Story,1970,Romance
Patton,1970,War
Lovers and Other Strangers,1970,Comedy
Little Big Man,1970,Western
Ryan's Daughter,1970,Romance
Women in Love,1969,Drama
Diary of a Mad Housewife,1970,Comedy
The Landlord,1970,Comedy
Airport,1970,Action
M*A*S*H,1970,Comedy
Fellini Satyricon,1969,Drama
First Love,1970,Drama
Hoa-Binh,1970,War
Investigation of a Citizen above Suspicion,1970,Drama
Paix Sur Les Champs,1970,Drama
Tristana,1970,Drama
The Further Adventures of Uncle Sam: Part Two,1970,Animation
Is It Always Right to Be Right?,1970,Animation
The Shepherd,1970,Animation
Sunday Bloody Sunday,1971,Drama
The French Connection,1971,Action
Kotch,1971,Comedy
The Hospital,1971,Comedy
Fiddler on the Roof,1971,Drama
The Last Picture Show,1971,Drama
Sometimes a Great Notion,1971,Action
McCabe & Mrs. Miller,1971,Western
Klute,1971,Thriller
"Mary, Queen of Scots",1971,Drama
Nicholas and Alexandra,1971,Drama
Carnal Knowledge,1971,Drama
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?,1971,Comedy
The Go-Between,1971,Drama
A Clockwork Orange,1971,Science Fiction
Dodes'ka-Den,1970,Drama
The Emigrants,1971,Drama
The Garden of the Finzi Continis,1970,Drama
The Policeman,1971,Comedy
Tchaikovsky,1971,Drama
The Crunch Bird,1971,Comedy
Evolution,1971,Animation
The Selfish Giant,1971,Animation
The Conformist,1971,Drama
The Godfather,1972,Drama
Sleuth,1972,Thriller
The Ruling Class,1972,Comedy
Sounder,1972,Drama
The Heartbreak Kid,1972,Romance
Cabaret,1972,Music
Lady Sings the Blues,1972,Drama
Travels with My Aunt,1972,Adventure
The Emigrants,1971,Drama
Butterflies Are Free,1972,Comedy
Pete 'n' Tillie,1972,Drama
Fat City,1972,Drama
The Poseidon Adventure,1972,Adventure
Deliverance,1972,Drama
The Dawns Here Are Quiet,1972,Drama
The Discreet Charm of the Bourgeoisie,1972,Comedy
I Love You Rosa,1972,Romance
My Dearest Señorita,1972,Drama
The New Land,1972,Drama
A Christmas Carol,1972,Animation
Kama Sutra Rides Again,1972,Animation
Tup Tup,1972,Animation
Last Tango in Paris,1972,Drama
Save the Tiger,1973,Drama
The Last Detail,1973,Drama
Serpico,1973,Crime
The Sting,1973,Comedy
Bang the Drum Slowly,1973,Drama
The Paper Chase,1973,Drama
The Exorcist,1973,Horror
A Touch of Class,1973,Comedy
Cinderella Liberty,1973,Drama
The Way We Were,1973,Drama
"Summer Wishes, Winter Dreams",1973,Drama
American Graffiti,1973,Comedy
Paper Moon,1973,Comedy
Cries and Whispers,1972,Drama
Day for Night,1973,Comedy
The House on Chelouche Street,1973,Drama
L'Invitation,1973,Comedy
The Pedestrian,1973,Drama
Turkish Delight,1973,Drama
Frank Film,1973,Animation
The Legend of John Henry,1973,Animation
Pulcinella,1973,Animation
Harry and Tonto,1974,Comedy
Murder on the Orient Express,1974,Drama
Lenny,1974,Drama
Chinatown,1974,Crime
The Godfather Part II,1974,Drama
The Towering Inferno,1974,Action
Thunderbolt and Lightfoot,1974,Comedy
Alice Doesn't Live Here Anymore,1974,Romance
Claudine,1974,Drama
A Woman under the Influence,1974,Drama
Days and Nights in the Forest,1970,Drama
Blazing Saddles,1974,Western
Amarcord,1973,Documentary
Cats' Play,1974,Drama
The Deluge,1974,History
"Lacombe, Lucien",1974,Drama
The Truce,1974,Romance
The Conversation,1974,Crime
Closed Mondays,1974,Animation
The Family That Dwelt Apart,1974,Animation
Hunger,1974,Animation
Voyage to Next,1974,Animation
Winnie the Pooh and Tigger Too,1974,Family
The Apprenticeship of Duddy Kravitz,1974,Drama
Young Frankenstein,1974,Comedy
The Sunshine Boys,1975,Comedy
One Flew over the Cuckoo's Nest,1975,Drama
Dog Day Afternoon,1975,Crime
The Man in the Glass Booth,1975,Drama
"Give 'em Hell, Harry!",1975,Drama
The Day of the Locust,1975,Drama
Shampoo,1975,Comedy
The Story of Adele H.,1975,Drama
Tommy,1975,Drama
Hedda,1975,Drama
Hester Street,1975,Drama
Nashville,1975,Drama
"Farewell, My Lovely",1975,Crime
Jacqueline Susann's Once Is Not Enough,1975,Drama
Amarcord,1975,Documentary
Barry Lyndon,1975,Drama
Dersu Uzala,1975,Adventure
Land of Promise,1975,Drama
Letters from Marusia,1975,Drama
Sandakan No. 8,1975,War
Scent of a Woman,1974,Comedy
Jaws,1975,Horror
Great,1975,Animation
Kick Me,1975,Animation
Monsieur Pointu,1976,Comedy
Sisyphus,1975,Animation
The Man Who Would Be King,1975,Adventure
Taxi Driver,1976,Crime
Network,1976,Drama
Seven Beauties,1975,Comedy
Rocky,1976,Drama
Marathon Man,1976,Thriller
All the President's Men,1976,Drama
"Cousin, Cousine",1975,Comedy
Carrie,1976,Horror
Face to Face,1967,Western
Voyage of the Damned,1976,Drama
Black and White in Color,1976,Drama
"Jacob, the Liar",1976,Comedy
Nights and Days,1976,Drama
Bound for Glory,1976,Music
Dedalo,1976,Animation
Leisure,1976,Animation
The Street,1977,Comedy
Fellini's Casanova,1976,Drama
The Seven-per-cent Solution,1976,Mystery
Annie Hall,1977,Comedy
Equus,1977,Drama
The Goodbye Girl,1977,Comedy
A Special Day,1977,Drama
Saturday Night Fever,1977,Music
The Turning Point,1977,Drama
Star Wars,1977,Adventure
Julia,1977,Drama
Close Encounters of the Third Kind,1977,Science Fiction
Looking for Mr. Goodbar,1977,Drama
Iphigenia,1977,Action
Madame Rosa,1977,Drama
Operation Thunderbolt,1977,Action
That Obscure Object of Desire,1977,Comedy
The Bead Game,1977,Animation
The Doonesbury Special,1977,Animation
Jimmy the C,1977,Animation
The Sand Castle,1977,Animation
I Never Promised You a Rose Garden,1977,Drama
"Oh, God!",1977,Fantasy
Heaven Can Wait,1978,Fantasy
The Buddy Holly Story,1978,Drama
The Deer Hunter,1978,Drama
The Boys from Brazil,1978,Drama
Coming Home,1978,Drama
Comes a Horseman,1978,Western
Midnight Express,1978,Drama
Autumn Sonata,1978,Drama
"Same Time, Next Year",1978,Comedy
An Unmarried Woman,1978,Drama
Interiors,1978,Drama
California Suite,1978,Comedy
Get Out Your Handkerchiefs,1978,Romance
The Glass Cell,1978,Drama
Hungarians,1978,Drama
Viva Italia!,1978,Comedy
Waltzing Regitze,1977,Comedy
White Bim Black Ear,1978,Drama
Oh My Darling,1978,Animation
Rip Van Winkle,1978,Animation
Special Delivery,1978,Animation
Bloodbrothers,1978,Drama
Kramer vs. Kramer,1979,Drama
The China Syndrome,1979,Drama
...And Justice for All,1979,Drama
All That Jazz,1979,Drama
Being There,1979,Comedy
Apocalypse Now,1979,Drama
The Rose,1979,Drama
The Black Stallion,1979,Family
Starting Over,1979,Comedy
Norma Rae,1979,Drama
Chapter Two,1979,Comedy
Breaking Away,1979,Drama
Manhattan,1979,Comedy
La Cage aux Folles,1978,Comedy
The Maids of Wilko,1979,Drama
Mama Turns a Hundred,1979,Comedy
A Simple Story,1978,Drama
The Tin Drum,1979,Drama
To Forget Venice,1979,Drama
Dream Doll,1979,Animation
Every Child,1979,Comedy
It's So Nice to Have a Wolf around the House,1979,Animation
A Little Romance,1979,Comedy
Raging Bull,1980,Drama
The Great Santini,1979,Drama
The Elephant Man,1980,Drama
Tribute,1980,Comedy
The Stunt Man,1980,Action
Ordinary People,1980,Drama
Melvin and Howard,1980,Comedy
Resurrection,1980,Drama
Private Benjamin,1980,Comedy
Gloria,1980,Crime
Coal Miner's Daughter,1980,Music
Inside Moves,1980,Drama
Tess,1979,Drama
Confidence,1980,Drama
Kagemusha (The Shadow Warrior),1980,Action
The Last Metro,1980,Drama
Moscow Does Not Believe in Tears,1980,Drama
The Nest,1980,Drama
All Nothing,1980,Animation
The Flying Tiger,1973,Action
History of the World in Three Minutes Flat,1980,Animation
Breaker Morant,1980,Drama
Reds,1981,Drama
On Golden Pond,1981,Drama
Atlantic City,1980,Crime
Arthur,1981,Comedy
Absence of Malice,1981,Drama
Only When I Laugh,1981,Comedy
Chariots of Fire,1981,Drama
Ragtime,1981,Drama
The French Lieutenant's Woman,1981,Drama
Raiders of the Lost Ark,1981,Adventure
The Boat Is Full,1981,Drama
Man of Iron,1981,Drama
Mephisto,1981,Drama
Muddy River,1981,Drama
Three Brothers,1981,Drama
Crac,1980,Animation
The Fly,1980,Animation
The Creation,1981,Animation
The Tender Tale of Cinderella Penguin,1981,Animation
Pennies from Heaven,1981,Drama
Prince of the City,1981,Drama
Tootsie,1982,Comedy
Gandhi,1982,Drama
Missing,1982,Drama
The Verdict,1982,Drama
My Favorite Year,1982,Comedy
The Best Little Whorehouse in Texas,1982,Comedy
An Officer and a Gentleman,1982,Drama
The World According to Garp,1982,Drama
Victor/Victoria,1982,Music
Frances,1982,Drama
Sophie's Choice,1982,Drama
Das Boot,1981,Drama
E.T. The Extra-Terrestrial,1982,Science Fiction
Alsino and the Condor,1982,Drama
Coup de Torchon ('Clean Slate'),1981,Comedy
The Flight of the Eagle,1982,Drama
Private Life,1982,Drama
Volver a Empezar ('To Begin Again'),1982,Drama
The Great Cognito,1982,Animation
The Snowman,1982,Adventure
Tango,1985,Animation
Educating Rita,1983,Drama
"Reuben, Reuben",1983,Drama
The Dresser,1983,Drama
Tender Mercies,1983,Drama
To Be or Not to Be,1983,Comedy
Terms of Endearment,1983,Drama
The Right Stuff,1983,Drama
Cross Creek,1983,Drama
Testament,1983,Drama
Silkwood,1983,Drama
The Big Chill,1983,Comedy
The Year of Living Dangerously,1982,Romance
Yentl,1983,Music
Fanny & Alexander,1982,Fantasy
Carmen,1983,Drama
Entre Nous,1983,Drama
Job's Revolt,1983,Drama
Le Bal,1983,Music
Mickey's Christmas Carol,1983,Family
Sound of Sunshine - Sound of Rain,1983,Animation
Sundae in New York,1983,Animation
Betrayal,1983,Drama
Amadeus,1984,History
Starman,1984,Science Fiction
Under the Volcano,1984,Drama
The Killing Fields,1984,Drama
A Soldier's Story,1984,Mystery
Places in the Heart,1984,Drama
The Karate Kid,1984,Action
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984,Adventure
A Passage to India,1984,Drama
Country,1984,Drama
The Bostonians,1984,Drama
The River,1984,Drama
The Natural,1984,Drama
Swing Shift,1984,Drama
The Pope of Greenwich Village,1984,Action
Broadway Danny Rose,1984,Comedy
Beyond the Walls,1984,Drama
Camila,1984,Drama
Dangerous Moves,1984,Drama
Double Feature,1984,Drama
Wartime Romance,1984,Drama
Charade,1984,Animation
Doctor De Soto,1984,Animation
Paradise,1984,Comedy
Witness,1985,Crime
Murphy's Romance,1985,Comedy
Kiss of the Spider Woman,1985,Drama
Prizzi's Honor,1985,Romance
Runaway Train,1985,Action
Cocoon,1985,Comedy
Out of Africa,1985,History
Jagged Edge,1985,Thriller
Agnes of God,1985,Drama
The Color Purple,1985,Drama
Sweet Dreams,1985,Drama
The Trip to Bountiful,1985,Drama
Twice in a Lifetime,1985,Drama
Ran,1985,Action
Angry Harvest,1985,Drama
Colonel Redl,1985,Drama
The Official Story,1985,Drama
Three Men and a Cradle,1985,Comedy
When Father Was Away on Business,1985,Drama
Anna & Bella,1985,Animation
The Big Snit,1985,Animation
Second Class Mail,1985,Animation
Round Midnight,1986,Drama
Mona Lisa,1986,Crime
Children of a Lesser God,1986,Drama
The Color of Money,1986,Drama
Salvador,1986,Drama
Platoon,1986,Drama
Hannah and Her Sisters,1986,Comedy
A Room with a View,1986,Drama
Hoosiers,1986,Drama
The Morning After,1986,Thriller
Crimes of the Heart,1986,Comedy
Peggy Sue Got Married,1986,Comedy
Aliens,1986,Action
Blue Velvet,1986,Mystery
The Mission,1986,Adventure
The Assault,1986,War
Betty Blue,1986,Drama
The Decline of the American Empire,1986,Comedy
My Sweet Little Village,1986,Comedy
38 - Vienna Before the Fall,1986,Drama
The Frog the Dog and the Devil,1986,Animation
A Greek Tragedy,1986,Animation
Luxo Jr.,1986,Animation
Stand by Me,1986,Crime
Wall Street,1987,Crime
Broadcast News,1987,Comedy
Dark Eyes,1987,Comedy
Ironweed,1987,Drama
"Good Morning, Vietnam",1987,Comedy
The Untouchables,1987,Crime
Street Smart,1987,Thriller
Moonstruck,1987,Comedy
Cry Freedom,1987,Drama
Fatal Attraction,1987,Thriller
Anna,1987,Drama
Gaby - A True Story,1987,Drama
Throw Momma from the Train,1987,Comedy
The Whales of August,1987,Drama
Hope and Glory,1987,Drama
The Last Emperor,1987,Drama
My Life as a Dog,1985,Drama
Au Revoir Les Enfants,1987,Drama
Babette's Feast,1987,Drama
Course Completed,1987,Drama
The Crazy Family,1984,Drama
Pathfinder,1987,Adventure
George and Rosemary,1987,Animation
The Man Who Planted Trees,1987,Animation
Your Face,1987,Music
The Dead,1987,Drama
Full Metal Jacket,1987,Drama
Mississippi Burning,1988,Drama
Big,1988,Fantasy
Rain Man,1988,Drama
Stand and Deliver,1988,Drama
Pelle the Conqueror,1987,Drama
Little Dorrit,1987,Drama
The Family,1987,Drama
A Fish Called Wanda,1988,Comedy
Tucker The Man and His Dream,1988,Drama
Running on Empty,1988,Drama
Married to the Mob,1988,Comedy
Dangerous Liaisons,1988,Drama
A Cry in the Dark,1988,Drama
The Accused,1988,Crime
Working Girl,1988,Comedy
Evil Angels,1988,Drama
Gorillas in the Mist,1988,Drama
The Accidental Tourist,1988,Comedy
The Last Temptation of Christ,1988,Drama
Hanussen,1988,Science Fiction
The Music Teacher,1988,Music
Salaam Bombay!,1988,Crime
Women on the Verge of a Nervous Breakdown,1988,Comedy
The Cat Came Back,1988,Music
Technological Threat,1988,Animation
Tin Toy,1988,Animation
The Unbearable Lightness of Being,1988,Drama
Henry V,1989,War
Born on the Fourth of July,1989,Drama
My Left Foot,1989,Drama
Driving Miss Daisy,1989,Drama
Dead Poets Society,1989,Drama
Do the Right Thing,1989,Drama
A Dry White Season,1989,Drama
Crimes and Misdemeanors,1989,Comedy
Glory,1989,Drama
Camille Claudel,1988,Drama
Shirley Valentine,1989,Romance
Music Box,1989,Drama
The Fabulous Baker Boys,1989,Comedy
Enemies A Love Story,1989,Comedy
Steel Magnolias,1989,Comedy
Parenthood,1989,Comedy
Cinema Paradiso,1988,Drama
Jesus of Montreal,1989,Drama
Waltzing Regitze,1989,Drama
What Happened to Santiago,1989,Comedy
Field of Dreams,1989,Drama
Balance,1989,Drama
The Cow,1989,Animation
The Hill Farm,1989,Animation
Dances With Wolves,1990,Adventure
Awakenings,1990,Drama
Cyrano de Bergerac,1990,Drama
The Field,1990,Drama
Reversal of Fortune,1990,Drama
Longtime Companion,1989,Drama
The Godfather Part III,1990,Crime
Dick Tracy,1990,Adventure
Good Fellas,1990,Drama
Misery,1990,Drama
The Grifters,1990,Crime
Pretty Woman,1990,Romance
Postcards from the Edge,1990,Comedy
Mr. & Mrs. Bridge,1990,Drama
Ghost,1990,Fantasy
Wild at Heart,1990,Crime
Journey of Hope,1990,Drama
Ju Dou,1990,Drama
The Nasty Girl,1990,Comedy
Open Doors,1990,Drama
Creature Comforts,1990,Animation
A Grand Day Out,1990,Family
Grasshoppers (Cavallette),1990,Comedy
Bugsy,1991,Crime
Cape Fear,1991,Drama
The Silence of the Lambs,1991,Crime
The Prince of Tides,1991,Drama
The Fisher King,1991,Comedy
JFK,1991,Drama
Barton Fink,1991,Comedy
City Slickers,1991,Comedy
Thelma & Louise,1991,Drama
Rambling Rose,1991,Drama
For the Boys,1991,Drama
Fried Green Tomatoes,1991,Drama
Boyz N the Hood,1991,Crime
Children of Nature,1991,Romance
The Elementary School,1991,Comedy
Mediterraneo,1991,Comedy
The Ox,1991,Drama
Raise the Red Lantern,1991,Drama
Beauty and the Beast,1991,Romance
Blackfly,1991,Animation
Manipulation,1991,Animation
Strings,1991,Animation
Europa Europa,1990,History
Chaplin,1992,Drama
Unforgiven,1992,Western
Scent of a Woman,1992,Drama
The Crying Game,1992,Crime
Malcolm X,1992,Drama
A Few Good Men,1992,Drama
Glengarry Glen Ross,1992,Crime
Mr. Saturday Night,1992,Comedy
Indochine,1992,Drama
Passion Fish,1992,Drama
Love Field,1992,Drama
Lorenzo's Oil,1992,Drama
Howards End,1992,Drama
Husbands and Wives,1992,Comedy
Enchanted April,1991,Romance
Damage,1992,Drama
My Cousin Vinny,1992,Comedy
The Player,1992,Mystery
Close to Eden,1991,Drama
Daens,1992,Drama
A Place in the World,1992,Drama
Schtonk!,1992,Comedy
Adam,1992,Comedy
Mona Lisa Descending a Staircase,1992,Animation
"Reci, Reci, Reci... (Words, Words, Words)",1992,Animation
Screen Play,1992,Animation
The Sandman,1992,Horror
Bad Girl,1992,Drama
A River Runs through It,1992,Drama
In the Name of the Father,1993,Drama
What's Love Got to Do with It,1993,Drama
Philadelphia,1993,Drama
The Remains of the Day,1993,Drama
Schindler's List,1993,Drama
What's Eating Gilbert Grape,1993,Romance
The Fugitive,1993,Action
In the Line of Fire,1993,Action
Six Degrees of Separation,1993,Mystery
The Piano,1993,Drama
Shadowlands,1993,Drama
The Firm,1993,Drama
Fearless,1993,Drama
The Age of Innocence,1993,Drama
Short Cuts,1993,Drama
Belle Epoque,1992,Comedy
Farewell My Concubine,1993,Drama
Hedd Wyn,1993,War
The Scent of Green Papaya,1993,Drama
The Wedding Banquet,1993,Comedy
Blindscape,1993,Animation
The Mighty River,1993,Animation
Small Talk,1993,Animation
The Village,1993,Animation
The Wrong Trousers,1993,Animation
The Shawshank Redemption,1994,Drama
Forrest Gump,1994,Comedy
The Madness of King George,1994,Comedy
Nobody's Fool,1994,Drama
Pulp Fiction,1994,Thriller
Ed Wood,1994,Comedy
Bullets over Broadway,1994,Comedy
Quiz Show,1994,History
Nell,1994,Drama
Blue Sky,1994,Drama
Tom & Viv,1994,Drama
Little Women,1994,Drama
The Client,1994,Drama
Red,1994,Drama
Before the Rain,1994,Drama
Burnt by the Sun,1994,Drama
Eat Drink Man Woman,1994,Comedy
Farinelli: Il Castrato,1994,History
Strawberry and Chocolate,1993,Comedy
Four Weddings and a Funeral,1994,Comedy
The Big Story,1995,Animation
Bob's Birthday,1994,Comedy
The Janitor,1995,Animation
The Monk and the Fish,1994,Animation
Triangle,1994,Animation
Leaving Las Vegas,1995,Drama
Mr. Holland's Opus,1995,Drama
Nixon,1995,Drama
Dead Man Walking,1995,Drama
The Postman (Il Postino),1994,Comedy
Babe,1995,Fantasy
Apollo 13,1995,Drama
12 Monkeys,1995,Science Fiction
Rob Roy,1995,Adventure
The Usual Suspects,1995,Drama
Casino,1995,Crime
The Bridges of Madison County,1995,Drama
Sense and Sensibility,1995,Drama
Mighty Aphrodite,1995,Comedy
Georgia,1995,Drama
Braveheart,1995,Action
All Things Fair,1995,Drama
Antonia's Line,1995,Drama
Dust of Life,1995,Drama
O Quatrilho,1995,Drama
The Star Maker,1995,Drama
The Chicken from Outer Space,1995,Animation
A Close Shave,1996,Family
the end,1995,Animation
Gagarin,1995,Animation
Runaway Brain,1995,Animation
Jerry Maguire,1996,Comedy
The English Patient,1996,Drama
The People vs. Larry Flynt,1996,Drama
Shine,1996,Drama
Sling Blade,1996,Drama
Fargo,1996,Crime
Primal Fear,1996,Crime
Ghosts of Mississippi,1996,Drama
Secrets & Lies,1996,Drama
Marvin's Room,1996,Drama
Breaking the Waves,1996,Drama
The Crucible,1996,Drama
The Mirror Has Two Faces,1996,Comedy
The Portrait of a Lady,1996,Drama
A Chef in Love,1996,Drama
Kolya,1996,Drama
The Other Side of Sunday,1996,Drama
Prisoner of the Mountains,1996,Drama
Ridicule,1996,Comedy
Canhead,1996,Animation
La Salla,1996,Animation
Quest,1997,Animation
Wat's Pig,1996,Animation
Hamlet,1996,Drama
Trainspotting,1996,Drama
Good Will Hunting,1997,Drama
The Apostle,1997,Drama
Ulee's Gold,1997,Drama
Wag the Dog,1997,Comedy
