Film,Year,Genre
As Good as It Gets,1997,Drama
Jackie Brown,1997,Crime
Amistad,1997,Drama
Boogie Nights,1997,Drama
The Wings of the Dove,1997,Drama
Afterglow,1997,Drama
Mrs. Brown,1997,Drama
Titanic,1997,Drama
L.A. Confidential,1997,Crime
In & Out,1997,Comedy
The Full Monty,1997,Comedy
The Sweet Hereafter,1997,Drama
Beyond Silence,1996,Drama
Character,1997,History
Four Days in September,1997,Thriller
Secrets of the Heart,1997,Drama
The Thief,1997,Drama
Famous Fred,1997,Comedy
Geri's Game,1997,Animation
La Vieille Dame et les Pigeons (The Old Lady and the Pigeons),1997,Animation
The Mermaid,1997,Animation
Redux Riding Hood,1997,Animation
Donnie Brasco,1997,Crime
Life Is Beautiful,1997,Comedy
Saving Private Ryan,1998,War
Gods and Monsters,1998,Drama
Affliction,1998,Crime
American History X,1998,Drama
A Civil Action,1998,Drama
The Truman Show,1998,Comedy
Shakespeare in Love,1998,Romance
A Simple Plan,1998,Crime
Elizabeth,1998,Drama
Central Station,1998,Drama
One True Thing,1998,Drama
Hilary and Jackie,1998,Drama
Primary Colors,1998,Drama
Little Voice,1998,Comedy
The Thin Red Line,1998,Drama
Children of Heaven,1998,Drama
The Grandfather,1998,Drama
Last Tango in Paris,1972,Drama
Bunny,1998,Animation
The Canterbury Tales,1998,Animation
Jolly Roger,1999,Animation
More,1998,Animation
When Life Departs,1998,Animation
Out of Sight,1998,Romance
The Insider,1999,Drama
The Straight Story,1999,Drama
Sweet and Lowdown,1999,Comedy
American Beauty,1999,Drama
The Hurricane,1999,Drama
The Cider House Rules,1999,Drama
Magnolia,1999,Drama
Under the Sun,1999,Drama
The Green Mile,1999,Fantasy
The Talented Mr. Ripley,1999,Thriller
The Sixth Sense,1999,Mystery
Tumbleweeds,1999,Comedy
The End of the Affair,1999,Romance
Music of the Heart,1999,Drama
Boys Don't Cry,1999,Crime
"Girl, Interrupted",1999,Drama
Being John Malkovich,1999,Comedy
All about My Mother,1999,Comedy
Caravan,1999,Documentary
East-West,1999,Drama
Solomon and Gaenor,1999,Drama
Rebirth of Mothra II,1997,Science Fiction
Humdrum,1999,Comedy
My Grandmother Ironed the King's Shirts,1999,Animation
The Old Man and the Sea,1999,Animation
3 Misses,1999,Animation
When the Day Breaks,1999,Animation
Election,1999,Comedy
Before Night Falls,2000,Drama
Gladiator,2000,Action
Cast Away,2000,Adventure
Pollock,2000,Drama
Quills,2000,Drama
The Contender,2000,Drama
Shadow of the Vampire,2000,Drama
Traffic,2000,Thriller
Erin Brockovich,2000,Drama
Chocolat,2000,Comedy
Requiem for a Dream,2000,Crime
You Can Count on Me,2000,Drama
Almost Famous,2000,Drama
Billy Elliot,2000,Drama
"Crouching Tiger, Hidden Dragon",2000,Adventure
Amores Perros,2000,Drama
Divided We Fall,2000,Comedy
Everybody Famous!,2000,Comedy
The Taste of Others,2000,Drama
Father and Daughter,2001,Animation
The Periwig-Maker,1999,Animation
Rejected,2000,Animation
"O Brother, Where Art Thou?",2000,Adventure
Wonder Boys,2000,Comedy
A Beautiful Mind,2001,Drama
I Am Sam,2001,Drama
Ali,2001,Drama
Training Day,2001,Action
In the Bedroom,2001,Drama
Iris,2001,Drama
Sexy Beast,2001,Crime
The Lord of the Rings: The Fellowship of the Ring,2001,Adventure
Monster's Ball,2001,Drama
Moulin Rouge!,2001,Drama
Bridget Jones's Diary,2001,Comedy
Gosford Park,2001,Drama
Jimmy Neutron: Boy Genius,2001,Family
"Monsters, Inc.",2001,Animation
Shrek,2001,Animation
Black Hawk Down,2001,Action
Mulholland Drive,2001,Thriller
Amélie,2001,Comedy
Elling,2001,Comedy
Lagaan,2001,Adventure
No Man's Land,2001,Action
Son of the Bride,2001,Comedy
Fifty Percent Grey,2001,Comedy
For the Birds,2000,Animation
Give Up Yer Aul Sins,2002,Animation
Strange Invaders,2001,Animation
Stubble Trouble,2001,Animation
Ghost World,2001,Comedy
The Pianist,2002,Drama
Adaptation,2002,Comedy
The Quiet American,2002,Romance
Gangs of New York,2002,Drama
About Schmidt,2002,Drama
The Hours,2002,Drama
Road to Perdition,2002,Crime
Chicago,2002,Comedy
Catch Me If You Can,2002,Drama
Frida,2002,Drama
Unfaithful,2002,Thriller
Far from Heaven,2002,Drama
Ice Age,2002,Animation
Lilo & Stitch,2002,Animation
Spirit: Stallion of the Cimarron,2002,Animation
Das Rad,2002,Animation
Spirited Away,2001,Animation
Treasure Planet,2002,Science Fiction
Talk to Her,2002,Drama
El Crimen del Padre Amaro,2002,Drama
Hero,2002,Drama
The Man without a Past,2002,Comedy
Nowhere in Africa,2001,Drama
Zus & Zo,2002,Comedy
The Lord of the Rings: The Two Towers,2002,Adventure
The Cathedral,2002,Science Fiction
The ChubbChubbs!,2002,Animation
The Sweet Hereafter,1997,Drama
Mike's New Car,2002,Animation
Mt. Head,2002,Animation
About a Boy,2002,Drama
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Adventure
House of Sand and Fog,2003,Drama
Cold Mountain,2003,War
Lost in Translation,2003,Drama
Mystic River,2003,Thriller
The Cooler,2003,Romance
21 Grams,2003,Drama
In America,2003,Drama
The Last Samurai,2003,Drama
Whale Rider,2003,Drama
Something's Gotta Give,2003,Drama
Monster,2003,Crime
Pieces of April,2003,Comedy
Thirteen,2003,Drama
Brother Bear,2003,Adventure
Finding Nemo,2003,Animation
The Triplets of Belleville,2003,Animation
City of God,2002,Drama
The Lord of the Rings: The Return of the King,2003,Adventure
Master and Commander: The Far Side of the World,2003,Adventure
The Barbarian Invasions,2003,Comedy
Touch of Evil,1958,Crime
The Twilight Samurai,2003,Drama
Twin Sisters,2002,Romance
Zelary,2003,Drama
Seabiscuit,2003,Drama
Evil,2003,Drama
Boundin',2003,Animation
Destino,2003,Animation
Gone Nutty,2003,Animation
Harvie Krumpet,2003,Animation
Nibbles,2003,Animation
American Splendor,2003,Comedy
Hotel Rwanda,2004,Drama
Finding Neverland,2004,Drama
The Aviator,2004,Drama
Million Dollar Baby,2004,Drama
Ray,2004,Drama
Sideways,2004,Comedy
Collateral,2004,Drama
Closer,2004,Drama
Being Julia,2004,Comedy
Maria Full of Grace,2004,Drama
Vera Drake,2004,Drama
Eternal Sunshine of the Spotless Mind,2004,Science Fiction
Kinsey,2004,Drama
The Incredibles,2004,Action
Shark Tale,2004,Animation
Shrek 2,2004,Animation
As It Is in Heaven,2004,Romance
The Chorus (Les Choristes),2004,Drama
Downfall,2004,Drama
The Sea Inside,2004,Drama
Yesterday,2004,Drama
Birthday Boy,2004,Animation
Gopher Broke,2004,Animation
Guard Dog,2004,Animation
Lorenzo,2004,Animation
Ryan,2004,Documentary
Before Sunset,2004,Drama
The Motorcycle Diaries,2004,Drama
Capote,2005,Crime
Hustle & Flow,2005,Crime
Brokeback Mountain,2005,Drama
Walk the Line,2005,Drama
"Good Night, and Good Luck.",2005,Drama
Syriana,2005,Drama
Crash,2005,Drama
Cinderella Man,2005,Romance
A History of Violence,2005,Drama
Mrs. Henderson Presents,2005,Comedy
Transamerica,2005,Drama
Pride & Prejudice,2005,Drama
North Country,2005,Drama
Junebug,2005,Comedy
The Constant Gardener,2005,Drama
Howl's Moving Castle,2004,Fantasy
Tim Burton's Corpse Bride,2005,Romance
Wallace & Gromit in The Curse of the Were-Rabbit,2005,Adventure
Munich,2005,Drama
Don't Tell,2005,Drama
Joyeux Noël,2005,Drama
Paradise Now,2005,Crime
Sophie Scholl - The Final Days,2005,Drama
Tsotsi,2005,Crime
Badgered,2005,Animation
The Moon and the Son: An Imagined Conversation,2005,Animation
The Mysterious Geographic Explorations of Jasper Morello,2005,Adventure
9,2005,Animation
One Man Band,2005,Animation
Blood Diamond,2006,Drama
Half Nelson,2006,Drama
Venus,2006,Comedy
The Pursuit of Happyness,2006,Drama
The Last King of Scotland,2006,Drama
Little Miss Sunshine,2006,Comedy
Little Children,2006,Drama
Dreamgirls,2006,Drama
The Departed,2006,Drama
Volver,2006,Comedy
Notes on a Scandal,2006,Drama
The Queen,2006,Drama
The Devil Wears Prada,2006,Drama
Babel,2006,Drama
Cars,2006,Animation
Happy Feet,2006,Animation
Monster House,2006,Animation
Letters from Iwo Jima,2006,Action
United 93,2006,Drama
After the Wedding,2006,Drama
Days of Glory (Indigènes),2006,Drama
The Lives of Others,2006,Drama
Pan's Labyrinth,2006,Fantasy
Water,2005,Drama
The Danish Poet,2006,Animation
Lifted,2006,Family
The Little Matchgirl,2006,Animation
The Legend of Drunken Master,1994,Action
No Time for Nuts,2006,Adventure
Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Comedy
Children of Men,2006,Science Fiction
Michael Clayton,2007,Drama
There Will Be Blood,2007,Drama
Sweeney Todd The Demon Barber of Fleet Street,2007,Drama
In the Valley of Elah,2007,History
Eastern Promises,2007,Thriller
The Assassination of Jesse James by the Coward Robert Ford,2007,Drama
No Country for Old Men,2007,Crime
Charlie Wilson's War,2007,Comedy
Into the Wild,2007,Adventure
Elizabeth: The Golden Age,2007,Drama
Away from Her,2007,Drama
La Vie en Rose,2007,Music
The Savages,2007,Drama
Juno,2007,Comedy
I'm Not There,2007,Drama
American Gangster,2007,Drama
Atonement,2007,Drama
Gone Baby Gone,2007,Crime
Persepolis,2007,Animation
Ratatouille,2007,Animation
Surf's Up,2007,Animation
The Diving Bell and the Butterfly,2007,Drama
Beaufort,2007,History
The Counterfeiters,2007,Drama
Katyn,2007,Drama
Mongol: The Rise of Genghis Khan,2007,History
12,2007,Crime
I Met the Walrus,2007,Documentary
Madame Tutli-Putli,2007,Animation
Même les Pigeons Vont au Paradis (Even Pigeons Go to Heaven),2007,Animation
My Love (Moya Lyubov),2007,Romance
Peter & the Wolf,2006,Animation
The Visitor,2008,Crime
Frost/Nixon,2008,Drama
Milk,2008,History
The Curious Case of Benjamin Button,2008,Drama
The Wrestler,2008,Drama
Tropic Thunder,2008,Action
Doubt,2008,Drama
The Dark Knight,2008,Action
Revolutionary Road,2008,Drama
Rachel Getting Married,2008,Drama
Changeling,2008,Crime
Frozen River,2008,Drama
The Reader,2008,Drama
Vicky Cristina Barcelona,2008,Drama
Bolt,2008,Animation
Kung Fu Panda,2008,Animation
The Never Ending Wall,2008,Documentary
Slumdog Millionaire,2008,Drama
The Baader Meinhof Complex,2008,Action
The Class,2007,Drama
Departures,2008,Drama
Revanche,2008,Crime
Waltz with Bashir,2008,Animation
La Maison en Petits Cubes,2008,Animation
Lavatory - Lovestory,2006,Animation
Oktapodi,2008,Animation
Presto,2008,Animation
WALL-E,2008,Animation
This Way Up,2008,Comedy
Crazy Heart,2009,Drama
Up in the Air,2009,Drama
A Single Man,2009,Drama
Invictus,2009,Drama
The Hurt Locker,2008,Drama
The Messenger,2009,Drama
The Last Station,2009,Drama
The Lovely Bones,2009,Fantasy
Inglourious Basterds,2009,Drama
The Blind Side,2009,Drama
An Education,2009,Drama
Precious: Based on the Novel 'Push' by Sapphire,2009,Drama
Julie & Julia,2009,Romance
Nine,2009,Drama
Coraline,2009,Animation
Fantastic Mr. Fox,2009,Adventure
The Princess and the Frog,2009,Animation
The Secret of Kells,2009,Animation
Up,2009,Animation
Avatar,2009,Action
Ajami,2009,Crime
The Milk of Sorrow,2009,Drama
A Prophet,2009,Crime
The Secret in Their Eyes,2009,Mystery
The White Ribbon,2009,Drama
District 9,2009,Science Fiction
A Serious Man,2009,Comedy
French Roast,2008,Animation
Granny O'Grimm's Sleeping Beauty,2009,Animation
The Lady and the Reaper (La Dama y la Muerte),2009,Animation
Logorama,2009,Animation
A Matter of Loaf and Death,2008,Family
In the Loop,2009,Comedy
Biutiful,2010,Drama
True Grit,2010,Drama
The Social Network,2010,Drama
The King's Speech,2010,Drama
127 Hours,2010,Adventure
The Fighter,2010,Drama
Winter's Bone,2010,Drama
The Town,2010,Crime
The Kids Are All Right,2010,Comedy
Rabbit Hole,2010,Drama
Black Swan,2010,Drama
Blue Valentine,2010,Drama
Animal Kingdom,2010,Crime
How to Train Your Dragon,2010,Fantasy
The Illusionist,2010,Animation
Toy Story 3,2010,Animation
Dogtooth,2009,Drama
In a Better World,2010,Drama
Incendies,2010,Drama
Outside the Law (Hors-la-loi),2010,Action
Inception,2010,Action
Day & Night,2010,Animation
The Gruffalo,2009,Animation
Let's Pollute,2009,Animation
The Lost Thing,2010,Animation
Madagascar a Journey Diary,2010,Animation
A Better Life,2011,Drama
The Descendants,2011,Comedy
The Artist,2011,Drama
Tinker Tailor Soldier Spy,2011,Drama
Moneyball,2011,Drama
My Week with Marilyn,2011,Drama
Warrior,2011,Drama
Beginners,2011,Drama
Extremely Loud & Incredibly Close,2011,Drama
Albert Nobbs,2011,Drama
The Help,2011,Drama
The Girl with the Dragon Tattoo,2011,Thriller
The Iron Lady,2011,History
Bridesmaids,2011,Comedy
A Cat in Paris,2010,Animation
Chico & Rita,2010,Animation
Kung Fu Panda 2,2011,Animation
Puss in Boots,2011,Animation
Rango,2011,Animation
Hugo,2011,Adventure
Midnight in Paris,2011,Fantasy
The Tree of Life,2011,Drama
Bullhead,2011,Crime
Footnote,2011,Comedy
In Darkness,2011,Drama
Monsieur Lazhar,2011,Drama
A Separation,2011,Drama
War Horse,2011,War
Dimanche/Sunday,2011,Animation
The Fantastic Flying Books of Mr. Morris Lessmore,2012,Adventure
La Luna,2012,Animation
A Morning Stroll,2011,Animation
Wild Life,2011,Animation
The Ides of March,2011,Drama
Silver Linings Playbook,2012,Drama
Lincoln,2012,History
Les Misérables,2012,History
The Master,2012,Drama
Flight,2012,Drama
Argo,2012,Drama
Django Unchained,2012,Drama
Zero Dark Thirty,2012,Thriller
Amour,2012,Drama
Beasts of the Southern Wild,2012,Drama
The Impossible,2012,Drama
The Sessions,2012,Drama
Brave,2012,Animation
Frankenweenie,2012,Animation
ParaNorman,2012,Family
The Pirates! Band of Misfits,2012,Animation
Wreck-It Ralph,2012,Family
Life of Pi,2012,Adventure
Kon-Tiki,2012,Adventure
No,2012,Drama
A Royal Affair,2012,Drama
War Witch,2012,Drama
Adam and Dog,2013,Animation
Fresh Guacamole,2012,Animation
Head over Heels,2012,Family
Maggie Simpson in \"The Longest Daycare\",2012,Animation
Paperman,2012,Animation
American Hustle,2013,Drama
Nebraska,2013,Drama
The Wolf of Wall Street,2013,Crime
12 Years a Slave,2013,Drama
Dallas Buyers Club,2013,Drama
Captain Phillips,2013,Action
Blue Jasmine,2013,Drama
Gravity,2013,Science Fiction
Philomena,2013,Drama
August: Osage County,2013,Comedy
The Croods,2013,Animation
Despicable Me 2,2013,Animation
Ernest & Celestine,2012,Animation
Frozen,2013,Animation
The Wind Rises,2013,Drama
The Broken Circle Breakdown,2012,Drama
The Great Beauty,2013,Drama
The Hunt,2013,Horror
The Missing Picture,2013,Documentary
Omar,2011,Drama
Her,2013,Romance
Feral,2013,Horror
Get a Horse!,2013,Animation
Mr. Hublot,2013,Animation
Possessions,2013,Horror
Room on the Broom,2012,Family
Before Midnight,2013,Romance
Foxcatcher,2014,Drama
American Sniper,2014,War
The Imitation Game,2014,History
Birdman or (The Unexpected Virtue of Ignorance),2014,Drama
The Theory of Everything,2014,Drama
The Judge,2014,Drama
Boyhood,2014,Drama
Whiplash,2014,Drama
"Two Days, One Night",2014,Drama
Still Alice,2014,Drama
Gone Girl,2014,Mystery
Wild,2014,Drama
Into the Woods,2014,Fantasy
Big Hero 6,2014,Adventure
The Boxtrolls,2014,Animation
How to Train Your Dragon 2,2014,Fantasy
Song of the Sea,2014,Family
The Tale of the Princess Kaguya,2013,Animation
The Grand Budapest Hotel,2014,Comedy
Ida,2013,Drama
Leviathan,1989,Adventure
Tangerines,2013,Drama
Timbuktu,2014,Drama
Wild Tales,2014,Drama
Selma,2014,History
The Bigger Picture,2014,Drama
The Dam Keeper,2014,Animation
Feast,2014,Animation
Me and My Moulton,2014,Animation
A Single Life,2014,Animation
Inherent Vice,2014,Drama
Trumbo,2015,Drama
The Martian,2015,Science Fiction
The Revenant,2015,Western
Steve Jobs,2015,Drama
The Danish Girl,2015,Drama
The Big Short,2015,Comedy
Spotlight,2015,Drama
Bridge of Spies,2015,Thriller
Creed,2015,Drama
Carol,2015,Romance
Room,2015,Drama
Joy,2015,Drama
A War,2015,Drama
45 Years,2015,Drama
Brooklyn,2015,Romance
The Hateful Eight,2015,Drama
Anomalisa,2015,Animation
Boy and the World,2014,Animation
Inside Out,2015,Animation
Shaun the Sheep Movie,2015,Family
When Marnie Was There,2014,Animation
Mad Max: Fury Road,2015,Action
Embrace of the Serpent,2015,Drama
Mustang,2015,Drama
Son of Saul,2015,War
Theeb,2014,Adventure
Female War: A Nasty Deal,2015,Drama
Bear Story,2015,Animation
Prologue,2015,Action
Sanjay's Super Team,2015,Animation
We Can't Live without Cosmos,2014,Animation
World of Tomorrow,2015,Animation
Manchester by the Sea,2016,Drama
Hacksaw Ridge,2016,Drama
La La Land,2016,Comedy
Captain Fantastic,2016,Adventure
Fences,2016,Drama
Moonlight,2016,Drama
Hell or High Water,2016,Western
Lion,2016,Drama
Nocturnal Animals,2016,Drama
Elle,2016,Drama
Loving,2016,Drama
Jackie,2016,Drama
Florence Foster Jenkins,2016,Comedy
Hidden Figures,2016,Drama
Kubo and the Two Strings,2016,Animation
Moana,2016,Adventure
My Life as a Zucchini,2016,Animation
The Red Turtle,2016,Animation
Zootopia,2016,Animation
Arrival,2016,Drama
Land of Mine,2015,War
A Man Called Ove,2015,Comedy
The Salesman,2016,Drama
Tanna,2015,Romance
Toni Erdmann,2016,Comedy
Blind Vaysha,2016,Animation
Borrowed Time,2015,Animation
Pear Cider and Cigarettes,2016,Animation
Pearl,2016,Animation
Piper,2016,Family
Call Me by Your Name,2017,Romance
Phantom Thread,2017,Drama
Get Out,2017,Mystery
Darkest Hour,2017,Drama
"Roman J. Israel, Esq.",2017,Drama
The Florida Project,2017,Drama
Three Billboards outside Ebbing,2017,Crime
The Shape of Water,2017,Drama
All the Money in the World,2017,Crime
"I, Tonya",2017,Drama
Lady Bird,2017,Drama
The Post,2017,Drama
Mudbound,2017,Drama
The Boss Baby,2017,Animation
The Breadwinner,2017,Animation
Coco,2017,Family
Ferdinand,2017,Animation
Loving Vincent,2017,Animation
Dunkirk,2017,War
A Fantastic Woman,2017,Drama
The Insult,2017,Drama
Loveless,2017,Drama
On Body and Soul,2017,Drama
The Square,2017,Drama
Dear Basketball,2017,Animation
Garden Party,2017,Animation
Lou,2017,Family
Negative Space,2017,Animation
Revolting Rhymes,2017,Family
The Disaster Artist,2017,Comedy
Logan,2017,Action
Molly's Game,2017,Drama
Vice,2018,Drama
A Star Is Born,2018,Music
At Eternity's Gate,2018,Drama
Bohemian Rhapsody,2018,Music
Green Book,2018,Drama
BlacKkKlansman,2018,Crime
Can You Ever Forgive Me?,2018,Drama
Roma,2018,Drama
The Wife,2017,Drama
The Favourite,2018,History
If Beale Street Could Talk,2018,Romance
Incredibles 2,2018,Action
Isle of Dogs,2018,Adventure
Mirai,2018,Animation
Ralph Breaks the Internet,2018,Family
Spider-Man: Into the Spider-Verse,2018,Animation
Cold War,2018,Romance
Capernaum,2018,Drama
Never Look Away,2018,Drama
Shoplifters,2018,Drama
Black Panther,2018,Action
Animal Behaviour,2018,Comedy
Bao,2018,Animation
Late Afternoon,2019,Family
One Small Step,2018,Family
Weekends,2017,Animation
The Ballad of Buster Scruggs,2018,Western
Pain and Glory,2019,Drama
Once upon a Time...in Hollywood,2019,Comedy
Marriage Story,2019,Drama
Joker,2019,Crime
The Two Popes,2019,Drama
A Beautiful Day in the Neighborhood,2019,History
The Irishman,2019,Crime
Harriet,2019,Drama
Little Women,2019,Drama
Bombshell,2019,Drama
Judy,2019,Drama
Richard Jewell,2019,Drama
Jojo Rabbit,2019,Comedy
How to Train Your Dragon: The Hidden World,2019,Animation
I Lost My Body,2019,Animation
Klaus,2019,Animation
Missing Link,2019,Family
Toy Story 4,2019,Family
1917,2019,War
Parasite,2019,Comedy
Corpus Christi,2019,Drama
Honeyland,2019,Documentary
Les Misérables,2019,Crime
Ford v Ferrari,2019,Drama
Dcera (Daughter),2019,Animation
Hair Love,2019,Animation
Kitbull,2019,Animation
Memorable,2019,Animation
Sister,2019,Drama
Sound of Metal,2020,Drama
Ma Rainey's Black Bottom,2020,Drama
The Father,2020,Drama
Mank,2020,Drama
Minari,2021,Drama
The Trial of the Chicago 7,2020,Drama
Judas and the Black Messiah,2020,Drama
One Night in Miami...,2020,Drama
The United States vs. Billie Holiday,2020,Music
Pieces of a Woman,2020,Drama
Nomadland,2021,Drama
Promising Young Woman,2020,Thriller
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,Comedy
Hillbilly Elegy,2020,Drama
Onward,2020,Family
Over the Moon,2020,Animation
A Shaun the Sheep Movie: Farmageddon,2019,Family
Soul,2020,Animation
Wolfwalkers,2020,Animation
Another Round,2020,Comedy
Better Days,2019,Drama
Collective,2019,Documentary
The Man Who Sold His Skin,2021,Drama
"Quo Vadis, Aida?",2021,War
Burrow,2020,Animation
Genius Loci,2020,Animation
If Anything Happens I Love You,2020,Drama
Opera,2020,Animation
Yes-People,2020,Animation
Leopard Head Lin Chong 1: The White Tiger Hall,2019,War
Being the Ricardos,2021,Drama
The Power of the Dog,2021,Drama
tick tick...BOOM!,2021,Drama
King Richard,2021,Drama
The Tragedy of Macbeth,2021,Drama
Belfast,2021,Drama
CODA,2021,Drama
The Eyes of Tammy Faye,2021,Drama
The Lost Daughter,2021,Drama
Parallel Mothers,2021,Drama
Spencer,2021,Drama
West Side Story,2021,Drama
Encanto,2021,Animation
Flee,2021,Documentary
Luca,2021,Animation
The Mitchells vs. the Machines,2021,Animation
Raya and the Last Dragon,2021,Animation
Drive My Car,2021,Drama
Licorice Pizza,2021,Drama
The Hand of God,2021,Drama
Lunana: A Yak in the Classroom,2019,Drama
The Worst Person in the World,2021,Drama
Don't Look Up,2021,Comedy
Dune,2021,Science Fiction
Nightmare Alley,2021,Crime
Affairs of the Art,2021,Animation
Bestia,2022,Animation
Boxballet,2021,Animation
Robin Robin,2021,Animation
The Windshield Wiper,2021,Animation
Elvis,2022,Drama
The Banshees of Inisherin,2022,Drama
The Whale,2022,Drama
Aftersun,2022,Drama
Living,2022,Drama
Causeway,2022,Drama
The Fabelmans,2022,Drama
Everything Everywhere All at Once,2022,Action
Tár,2022,Music
Blonde,2022,Drama
To Leslie,2022,Drama
Black Panther: Wakanda Forever,2022,Action
Guillermo del Toro's Pinocchio,2022,Animation
Marcel the Shell with Shoes On,2022,Animation
Puss in Boots: The Last Wish,2022,Animation
The Sea Beast,2022,Animation
Turning Red,2022,Animation
Triangle of Sadness,2022,Comedy
All Quiet on the Western Front,2022,War
Argentina 1985,2022,Drama
Close,2022,Drama
EO,2022,Drama
The Quiet Girl,2022,Drama
Avatar: The Way of Water,2022,Action
Top Gun: Maverick,2022,Action
Women Talking,2022,Drama
"The Boy, the Mole, the Fox and the Horse",2022,Animation
The Flying Sailor,2022,Animation
Ice Merchants,2023,Animation
My Year of Dicks,2023,Animation
An Ostrich Told Me the World Is Fake and I Think I Believe It,2022,Animation
Glass Onion: A Knives Out Mystery,2022,Comedy
Maestro,2023,Drama
Rustin,2023,Drama
The Holdovers,2023,Comedy
Oppenheimer,2023,Drama
American Fiction,2023,Comedy
Killers of the Flower Moon,2023,Crime
Barbie,2023,Comedy
Poor Things,2023,Science Fiction
Nyad,2023,Drama
Anatomy of a Fall,2023,Thriller
The Color Purple,2023,Drama
The Boy and the Heron,2023,Animation
Elemental,2023,Family
Nimona,2023,Animation
Robot Dreams,2023,Animation
Spider-Man: Across the Spider-Verse,2023,Animation
The Zone of Interest,2023,Drama
Io Capitano,2023,Adventure
Perfect Days,2023,Drama
Society of the Snow,2023,Drama
The Teachers' Lounge,2023,Drama
Past Lives,2023,Drama
Letter to a Pig,2024,Animation
Ninety-Five Senses,2023,Animation
Our Uniform,2023,Animation
Pachyderme,2024,Animation
WAR IS OVER! Inspired by the Music of John & Yoko,2023,Animation
The Brutalist,2024,Drama
A Complete Unknown,2024,Drama
Sing Sing,2024,Drama
Conclave,2024,Drama
The Apprentice,2024,History
Anora,2024,Drama
A Real Pain,2024,Comedy
Wicked,2024,Drama
Emilia Pérez,2024,Drama
The Substance,2024,Horror
I'm Still Here,2024,Drama
Flow,2024,Animation
Inside Out 2,2024,Animation
Memoir of a Snail,2024,Animation
Wallace & Gromit: Vengeance Most Fowl,2024,Family
The Wild Robot,2024,Animation
Beautiful Men,2023,Animation
In the Shadow of the Cypress,2023,Animation
Magic Candies,2025,Animation
Wander to Wonder,2024,Animation
Yuck!,2024,Animation
The Girl with the Needle,2024,Drama
The Seed of the Sacred Fig,2024,Drama
Dune: Part Two,2024,Science Fiction
Nickel Boys,2024,Drama
